"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Practical Considerations for Distributed Agile Projects","J. M. Robarts","ThoughtWorks Canada, Calgary, AB","Agile 2008 Conference","15 Aug 2008","2008","","","327","332","As a member of project teams both onshore and offshore, I have learned many lessons about the challenges specific to distributed agile projects. If I could relive my last four years as a project manager at ThoughtWorks, there would be so many simple, small things that I would do differently. This report discusses those lessons as items that must be considered as part of the planning and execution of such projects.","","978-0-7695-3321-6","10.1109/Agile.2008.57","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599500","distributed;offshore;project planning","Planning;Schedules;Portable computers;Lead;Business;Hardware;Buildings","planning;project management;software development management;team working","distributed agile project team;ThoughtWorks project management;project planning;software development management","","7","","","","15 Aug 2008","","","IEEE","IEEE Conferences"
"""It's Not the Pants, it's the People in the Pants"" Learnings from the Gap Agile Transformation What Worked, How We Did it, and What Still Puzzles Us","D. Goodman; M. Elbaz","IT Project Manage., Gap Inc. Direct, San Francisco, CA; IT Project Manage., Gap Inc. Direct, San Francisco, CA","Agile 2008 Conference","15 Aug 2008","2008","","","112","115","After 7 years of traditional IT delivery, Gap Inc.Direct decided to adopt Agile. This experience report discusses three key factors that contributed to our successful (and ongoing) Agile transformation: 1. Ambitious Pilot Project, 2. Massive Investment in Continuous Integration, 3. Rethinking our Assets. The choices we made might seem risky and even counter-intuitive, but understanding them could help other organizations consider different points of view and priorities as they embark on the transition to Agile. Additionally, we will identify ongoing challenges and what is left in our transformation backlog.","","978-0-7695-3321-6","10.1109/Agile.2008.87","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599459","Gap;Agile Transformation;Continuos Integration;Test Automation;Iterative Development","Business;Organizations;Programming;Testing;Software;Writing;Project management","project management;software engineering;software management","Gap Inc;agile transformation;IT delivery;ambitious pilot project;massive investment;continuous integration;assets rethinking","","11","","","","15 Aug 2008","","","IEEE","IEEE Conferences"
"Three-way cultural change: introducing agile within two non-agile companies and a non-agile methodology","R. Lawrence; B. Yslas","Avanade Inc., Seattle, WA, USA; Avanade Inc., Seattle, WA, USA","AGILE 2006 (AGILE'06)","14 Aug 2006","2006","","","5 pp.","262","The introduction of an agile methodology into a non-agile company raises both pragmatic and cultural considerations. This is an account of our experience introducing agile to our consulting firm and one of our customers (themselves a consulting firm). We cover both what practically did and did not work on our project, as well as some of the cultural issues involved in using a new methodology.","","0-7695-2562-8","10.1109/AGILE.2006.57","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1667587","","Cultural differences;Project management;International collaboration;History;Shape;Documentation;Waste management;Wastewater treatment;Risk management;Contracts","project management;software development management;consultancies;DP industry","cultural change;nonagile companies;agile methodology;consulting firm","","6","","3","","14 Aug 2006","","","IEEE","IEEE Conferences"
"Agile Teams Require Agile QA: How to Make it Work, An Experience Report","K. Opelt; T. Beeson","Menlo Innovations LLC, Ann Arbor, MI; Menlo Innovations LLC, Ann Arbor, MI","Agile 2008 Conference","15 Aug 2008","2008","","","229","232","It can seem challenging to successfully expand an agile process to include Quality Assurance (QA) practices. It does not have to be overwhelming. Integration can be achieved by tackling small goals using the XP principles of communication, simplicity, feedback, and courage. This paper describes our experiences towards successful integration.","","978-0-7695-3321-6","10.1109/Agile.2008.59","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599482","QA;Quality Assurance;Agile;quality;process","Business;Computer bugs;Testing;Quality assurance;Bridges;Planning;Software","program testing;project management;quality assurance;software quality;team working","agile QA practices;agile teams;quality assurance;XP principles;automated functional tests;extreme programming;project management","","4","","","","15 Aug 2008","","","IEEE","IEEE Conferences"
"A Path for Exploring the Agile Organizing Framework in Technology Education","M. C. Benton; N. M. Radziwill","Dept. of Integrated Sci. & Technol., James Madison Univ., Harrisonburg, VA, USA; Dept. of Integrated Sci. & Technol., James Madison Univ., Harrisonburg, VA, USA","2011 Agile Conference","29 Aug 2011","2011","","","131","134","When the Agile Organizing Framework (AOF) is examined through the lens of the social constructivist pedagogy, principles and practices that define an agile learning environment emerge. This paper presents a translation of the AOF to fit the context of instruction in higher education based on the social constructivist perspective, and is not limited to software engineering education. Additional research is needed to observe, test and validate each of the agile enablers and inhibitors in the classroom, and to determine which principles and practices best contribute to the achievement of learning objectives. Furthermore, we hypothesize that integrating elements of the agile learning environment into agile software development methodologies could enhance a team's ability to successfully synchronize exploitation (the continuous improvement of existing products and practices) with exploration (the identification and implementation of breakthrough innovations).","","978-1-61284-426-8","10.1109/AGILE.2011.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6005494","agile;Agile Organizing Framework (AOF);agile learning environment;higher education;software engineering education;ambidextrous;exploration;exploitation","Programming;Organizing;Inhibitors;Context;Education;Synchronization;Software engineering","computer science education;software development management;software prototyping;team working","agile organizing framework;technology education;social constructivist pedagogy;agile learning environment;higher education;social constructivist perspective;software engineering education;agile software development methodology;team ability enhancement","","5","","4","","29 Aug 2011","","","IEEE","IEEE Conferences"
"Process Increments: An Agile Approach to Software Process Improvement","A. N. Abdel-Hamid; M. A. Abdel-Kader","Software Eng. Competence Center (SECC), IT Ind. Dev. Agency (ITIDA), Cairo, Egypt; Software Eng. Competence Center (SECC), IT Ind. Dev. Agency (ITIDA), Cairo, Egypt","2011 Agile Conference","29 Aug 2011","2011","","","195","200","Process Increments' is an iterative and incremental approach to manage software process improvement projects. It partitions the scope into user-story-like increments, and manages the whole project using agile estimating and planning techniques. This approach has been applied to five enterprises and showed sustained improvement velocity, good project visibility, and on-going learning experiences by project teams.","","978-1-61284-426-8","10.1109/AGILE.2011.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6005524","Process Increment;Agile Adoption;Software Process Improvement;Organization Transition","Companies;Planning;Software;Testing;Software engineering;Standards organizations","project management;software process improvement;software prototyping","agile approach;software process improvement;process increments;software process improvement project;user story like increments;planning techniques","","6","","5","","29 Aug 2011","","","IEEE","IEEE Conferences"
"Change-oriented adaptive software engineering by using agile methodology: CFDD","K. Kumar; P. K. Gupta; D. Upadhyay","Department of Computer Science & Engineering, Jaypee University of Information Technology, Solan, HP, India; Department of Computer Science & Engineering, Jaypee University of Information Technology, Solan, HP, India; Department of Computer Science & Engineering, SRMS College of Engg. & Technology, Barerlly, UP, India","2011 3rd International Conference on Electronics Computer Technology","7 Jul 2011","2011","5","","11","14","Changes are very common issues to software development. In this modern competitive software environment the changes are very frequent to any software product. Most software companies nowadays aim to produce valuable software in sort time period with minimal cost within unstable and changing environment. With the time new requirement are coming so a change oriented technique is needed. In this paper a change oriented adaptive software engineering model is presented that use an agile methodology: CFDD (cognizant feature driven development). In this model changes are handled separately from the development phase. Two techniques are used in combination: Adaptive development and CFDD (an Agile methodology). The key benefit of this model is its simplicity and full proof quick development with less chance of failure that is change oriented (feature oriented).","","978-1-4244-8679-3","10.1109/ICECTECH.2011.5941947","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5941947","adaptive software development;agile methodologies;cognizant feature driven development;model storming","Programming;Analytical models;Software;Adaptation model;Software engineering;Buildings","software prototyping","change-oriented adaptive software engineering;agile methodology;software development;software product;software companies;cognizant feature driven development","","1","","14","","7 Jul 2011","","","IEEE","IEEE Conferences"
"AGILEUX Model: Towards a Reference Model on Integrating UX in Developing Software Using Agile Methodologies","A. L. Peres; T. Da Silva; F. S. Silva; F. F. Soares; C. Rosemberg; S. Romero","Univ. Fed. de Pernambuco (UFPE), Recife, Brazil; UNIFESP - Univ. Fed. de Sao Paulo, Sao Paulo, Brazil; Univ. Fed. de Pernambuco (UFPE), Recife, Brazil; Univ. Fed. de Pernambuco (UFPE), Recife, Brazil; Inst. Atlantico, Fortaleza, Brazil; Univ. Fed. de Pernambuco (UFPE), Recife, Brazil","2014 Agile Conference","29 Sep 2014","2014","","","61","63","This paper presents a maturity model for integrating agile methods and user experience in the software development cycle that may be suitable for small companies. The proposal is in line with CMMI, MPS. BR and ISO18529. The model focuses on the first level of maturity where seeks to establish a standard process within an organization by defining agile practices, principles, techniques and artifacts of user experience. It also offers guidelines on how to integrate practices that are important for the evolution of maturity in order to evolve to more advanced levels. The preliminary model was verified by panels of experts. Future studies will be conducted so as to extend the model and do so by detailing other process levels and conducting action research at companies with experience in the maturation of process of integrating user experience into the software development cycle with CMMI and/or MPS. BR certifications.","","978-1-4799-5798-9","10.1109/AGILE.2014.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6910404","Maturity models;CMMI;User experience;Agile methodologies","Usability;Capability maturity model;Standards organizations;Companies","Capability Maturity Model;ISO standards;software prototyping;user centred design","user centered design;International Standard;Brazilian Maturity Model for Software Improvement;capability maturity model integration;ISO18529;MPS.BR;CMMI;software development cycle;user experience;agile methods;maturity model;AGILEUX model","","15","","30","","29 Sep 2014","","","IEEE","IEEE Conferences"
"Applying Agile Methodologies in Industry Projects: Benefits and Challenges","K. Kaur; A. Jajoo; Manisha",NA; NA; NA,"2015 International Conference on Computing Communication Control and Automation","16 Jul 2015","2015","","","832","836","Agile software development has been prevalent in IT industry since more than two decades now. Conceptually, Agile was introduced as an iterative, incremental and adaptive methodology for software development. There are quite a few studies that discuss the success of agile development projects on account of multiple factors like cost, time, quality and productivity. Owing to its popular virtues like enhanced flexibility to incorporate evolving requirements, incremental delivery, quick time to market and ability to keep pace with market trends [1], clients tend to leverage agile methods for a variety of project types in addition to typical small scale development projects. Through this paper, we discuss some of the practical aspects, pros and cons of applying agile principles to different types of IT projects including testing projects, maintenance projects and large-scale development projects.","","978-1-4799-6892-3","10.1109/ICCUBEA.2015.166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7155964","Agile;projects;implementation;large scale development;testing;maintenance","Testing;Maintenance engineering;Software;Planning;Agile software development;Automation;Portals","project management;software development management;software prototyping","agile methodologies;industry projects;agile software development;information technology;agile development projects;agile principles;testing projects;maintenance projects;large-scale development projects","","10","","9","IEEE","16 Jul 2015","","","IEEE","IEEE Conferences"
"Deepening Our Understanding of Communities of Practice in Large-Scale Agile Development","M. Paasivaara; C. Lassenius","Dept. of Comput. Sci. & Eng., Aalto Univ., Aalto, Finland; Dept. of Comput. Sci. & Eng., Aalto Univ., Aalto, Finland","2014 Agile Conference","29 Sep 2014","2014","","","37","40","Communities of Practice (CoPs) are groups of experts who share a common interest or topic and collectively want to deepen their knowledge. The use of CoPs is one of the practices that agile practitioner literature suggests for knowledge sharing and coordination in large-scale agile software development. Even though CoPs are largely used and studied in other industrial contexts, their usage in industrial large-scale software development has not received much research attention. In this paper we describe our findings from a case study of a large software development organization that successfully used CoPs to support their large-scale agile implementation, as well as their transformation from the waterfall model to Lean and Agile. In this case, the use of CoPs was one of the a key success factors. To advance both research and practice we suggest that future research should pay more attention on CoPs in large-scale agile, e.g. By studying how CoPs should be cultivated in the organization, how they work in practice, what they are used for, as well as the benefits and challenges of cultivating and implementing CoPs.","","978-1-4799-5798-9","10.1109/AGILE.2014.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6910401","large-scale agile development;communities of practice;Scrum","Organizations;Communities;Software;Buildings;Context;Software engineering;Agile software development","personnel;software development management;software prototyping","lean development;waterfall model;software development organization;large-scale agile software development;knowledge sharing;CoPs;communities of practice","","","","11","","29 Sep 2014","","","IEEE","IEEE Conferences"
